type	latitude	longitude	altitude (m)	name	desc
T	21.117776582	77.254521158	319.2		
T	21.086059294	77.166456256	308.8		
T	21.075123706	77.089382262	300.5		
T	21.064245795	77.023347334	291.2		
T	21.043026257	76.957402195	278.2		
T	21.021900732	76.902498828	277.0		
T	20.990417564	76.847695118	272.1		
T	20.989856620	76.781687855	273.8		
T	20.979029186	76.726772731	256.9		
T	20.957747160	76.660969308	252.1		
T	20.936502034	76.595197627	240.2		
T	20.915354484	76.540443490	242.8		
T	20.904726157	76.507579885	236.2		
T	20.893991182	76.463734858	247.3		
T	20.872911155	76.420015637	253.5		
T	20.830295932	76.299697367	270.5		
T	20.819620408	76.255890675	290.0		
T	20.819186858	76.200962396	263.5		
T	20.818524562	76.135062362	275.2		
T	20.797269434	76.080451698	302.7		
T	20.786339332	76.025702530	326.0		
T	20.775268859	75.959982849	344.0		
T	20.774583335	75.894075377	324.5		
T	20.774032998	75.839132375	282.6		
T	20.773464934	75.784182120	279.5		
T	20.772640452	75.707239788	276.1		
T	20.802808634	75.629681303	255.3		
T	20.833100340	75.563054551	253.9		
T	20.863537415	75.507369171	230.4		
T	20.904194958	75.440399540	221.0		
T	20.924260393	75.384842605	252.5		
T	20.954671932	75.329021183	210.9		
T	20.985077111	75.273155227	229.9		
T	20.995024711	75.239809314	212.2		
T	21.035848682	75.183586872	202.0		
T	21.066307931	75.127559407	182.4		
T	21.107137475	75.071221214	172.4		
T	21.127210585	75.015358161	172.7		
T	21.136891150	74.959733785	182.3		
T	21.146569369	74.904075080	173.3		
T	21.146164582	74.870819508	176.0		
T	21.145369225	74.804266883	202.6		
T	21.144788992	74.759914805	227.6		
T	21.143288082	74.648997580	227.4		
T	21.142352141	74.582422858	262.1		
T	21.130975747	74.516173402	317.1		
T	21.120062917	74.483227947	387.0		
T	21.057039352	74.440828601	402.0		
T	21.025563530	74.419612804	452.4		
T	20.973519948	74.410138800	393.4		
T	20.931820573	74.400392569	409.0		
T	20.879416247	74.368817670	516.8		
T	20.847771306	74.336582637	708.7		
T	20.795372305	74.305059120	617.1		
T	20.753528355	74.284293161	575.4		
T	20.711752710	74.263463399	644.6		
T	20.680530534	74.253364769	664.7		
T	20.607562487	74.222450479	561.0		
T	20.555476095	74.201972537	546.3		
T	20.503396104	74.181512198	533.2		
T	20.472026392	74.160355011	579.1		
T	20.440657685	74.139202428	609.0		
T	20.377749861	74.085815255	1001.9		
T	20.346042958	74.042455510	750.1		
T	20.325023257	74.020940445	738.6		
T	20.282185782	73.933604050	654.4		
T	20.260944725	73.901021844	642.3		
T	20.219050999	73.869114551	601.9		
T	20.177356272	73.848300805	656.6		
T	20.125340301	73.827836853	644.7		
T	20.073341218	73.807348934	663.1		
T	20.052293544	73.785846817	614.3		
T	19.989729610	73.754718297	599.5		
T	19.957905050	73.711452328	662.9		
T	19.925843634	73.657104299	713.4		
T	19.893779685	73.602693571	764.2		
T	19.893139983	73.569285772	774.0		
T	19.891841291	73.502436066	692.2		
T	19.890112743	73.413092629	461.3		
T	19.889019975	73.357171729	409.9		
T	19.888577438	73.334793434	403.8		
T	19.886504899	73.234183715	318.9		
T	19.886035291	73.211815612	401.6		
T	19.894217154	73.110737773	174.1		
T	19.893486080	73.077150426	162.3		
T	19.912929596	73.020409725	81.0		
T	19.891007110	72.965090867	50.5		
T	19.869318075	72.920950765	40.4		
T	19.826395101	72.855129253	24.7		
T	19.774645612	72.857140162	34.4		
T	19.733536654	72.869879253	26.3		
T	19.702509263	72.871019009	14.2		
T	19.651346768	72.895307759	6.5		
T	19.621131267	72.930043981	20.4		
T	19.590929983	72.964753325	54.8		
T	19.571601195	73.021394593	57.3		
T	19.551733457	73.055677096	53.9		
T	19.552261432	73.078028693	41.2		
T	19.554331551	73.167461275	74.1		
T	19.555841446	73.234542899	67.4		
T	19.567152350	73.278881867	116.7		
T	19.578930762	73.345535566	167.5		
T	19.600758717	73.400615223	204.3		
T	19.632877445	73.455285900	264.5		
T	19.654430968	73.499141056	297.2		
T	19.686239959	73.542773443	589.9		
T	19.728152056	73.574775005	600.0		
T	19.759742661	73.607119215	640.0		
T	19.780795877	73.628684448	638.1		
T	19.791749927	73.661707795	628.7		
T	19.823529498	73.705132248	575.8		
T	19.866324910	73.781214080	605.1		
T	19.898342179	73.835497731	565.2		
T	19.930372344	73.889688262	550.6		
T	19.951642282	73.922138758	549.7		
T	19.982800098	73.932152036	554.4		
T	20.035216575	73.974642859	546.1		
T	20.077070246	74.006511204	553.6		
T	20.108602358	74.038719067	559.9		
T	20.140320627	74.081991625	565.6		
T	20.203142988	74.135400073	621.0		
T	20.244948919	74.167339458	640.8		
T	20.296884840	74.187912146	676.6		
T	20.328016498	74.198039639	713.7		
T	20.369655371	74.218912991	1067.4		
T	20.421849147	74.250464154	621.6		
T	20.474078195	74.281985221	526.1		
T	20.515971264	74.313852198	483.6		
T	20.589230622	74.366904626	501.7		
T	20.631111931	74.398829584	505.1		
T	20.651965624	74.409268565	503.3		
T	20.704353783	74.451978696	535.5		
T	20.746069321	74.472879318	532.2		
T	20.788030390	74.504775881	557.5		
T	20.840204363	74.525296877	435.6		
T	20.871831116	74.557523759	370.1		
T	20.882544823	74.579329831	351.8		
T	20.904128895	74.634014433	310.9		
T	20.905425202	74.722503958	277.0		
T	20.906036917	74.766755152	256.1		
T	20.906488041	74.799937842	256.2		
T	20.896566870	74.833402186	254.1		
T	20.876723753	74.900285764	279.0		
T	20.866811590	74.933696463	279.8		
T	20.857332431	75.000215699	263.9		
T	20.838572350	75.155229406	263.0		
T	20.818793085	75.232920433	256.3		
T	20.746489247	75.245633297	293.1		
T	20.715184558	75.224335378	292.0		
T	20.694255472	75.202779505	271.7		
T	20.662184989	75.115377728	289.3		
T	20.661758534	75.082334898	304.8		
T	20.650406513	75.005475709	323.0		
T	20.649807780	74.961403593	330.4		
T	20.638554270	74.895549107	363.7		
T	20.627608633	74.851717453	384.5		
T	20.606168246	74.797127563	384.7		
T	20.605536692	74.753011619	405.9		
T	20.594548613	74.709183916	410.9		
T	20.583033443	74.632276299	446.5		
T	20.520705568	74.611960705	409.1		
T	20.469409566	74.635457123	401.4		
T	20.428608544	74.669675721	406.7		
T	20.418787303	74.703005782	409.3		
T	20.409616652	74.780361726	402.2		
T	20.410100595	74.813383983	400.6		
T	20.410893123	74.868410633	398.1		
T	20.401761931	74.956733046	372.3		
T	20.423541358	75.044241263	346.8		
T	20.423948412	75.077251910	343.7		
T	20.424349087	75.110256438	353.4		
T	20.425131659	75.176247811	356.2		
T	20.425386915	75.198239541	372.8		
T	20.426201787	75.264142194	760.0		
T	20.416322705	75.297287014	744.2		
T	20.363500242	75.199682466	723.1		
T	20.341844349	75.112226441	750.9		
T	20.299388128	75.014257686	716.1		
T	20.266866412	74.894057589	664.7		
T	20.256257241	74.872323655	643.9		
T	20.244846991	74.795612083	591.1		
T	20.233225865	74.707894384	593.6		
T	20.211755487	74.653459727	546.0		
T	20.211404101	74.631467189	563.3		
T	20.200389306	74.587755603	590.5		
T	20.167354137	74.456479877	628.0		
T	20.155797240	74.379604855	590.4		
T	20.123396696	74.292291847	570.0		
T	20.091711622	74.249101837	569.9		
T	20.050093891	74.228291958	553.2		
T	19.998003387	74.196719770	527.2		
T	19.977808762	74.219344635	520.3		
T	19.968307407	74.263687704	515.0		
T	19.969079539	74.307750923	511.2		
T	19.970028981	74.362813881	520.0		
T	19.961589586	74.473156285	527.3		
T	19.962310360	74.517161715	524.6		
T	19.963583026	74.594073289	534.2		
T	19.975111664	74.670686846	550.3		
T	19.996882739	74.747035660	561.7		
T	20.028396603	74.790208715	582.0		
T	20.039172583	74.822896379	584.8		
T	20.060412178	74.866276759	592.2		
T	20.071336885	74.909928186	559.7		
T	20.082261922	74.953563693	541.9		
T	20.114212544	75.029618465	553.6		
T	20.135391344	75.073017241	571.4		
T	20.156848007	75.138355881	566.6		
T	20.188701319	75.214440136	614.7		
T	20.209858469	75.257826254	703.8		
T	20.241467273	75.311930201	735.4		
T	20.252194719	75.344570167	707.7		
T	20.284057706	75.420606338	650.6		
T	20.284476745	75.453458006	644.9		
T	20.316153063	75.518570038	609.8		
T	20.368122811	75.561417947	634.7		
T	20.409587240	75.582539909	679.9		
T	20.441064330	75.625756032	667.8		
T	20.482729328	75.657835943	727.7		
T	20.513949237	75.679170781	632.6		
T	20.534970574	75.711678334	588.8		
T	20.556365366	75.777088676	524.5		
T	20.567060758	75.809797985	381.4		
T	20.567675583	75.864613494	393.8		
T	20.568155112	75.908462389	405.5		
T	20.569008248	75.985176833	434.9		
T	20.569733063	76.050921362	514.9		
T	20.570433032	76.116662901	463.6		
T	20.571391479	76.215278273	477.8		
T	20.571799865	76.259104128	498.1		
T	20.572325045	76.313877844	438.6		
T	20.572975966	76.379599111	545.1		
T	20.574234692	76.511043337	420.2		
T	20.574550768	76.543904631	381.7		
T	20.575164463	76.609629958	355.9		
T	20.575363784	76.631539775	344.2		
T	20.586370923	76.708138333	339.5		
T	20.586940836	76.773881978	298.7		
T	20.608117233	76.839480033	292.4		
T	20.618872243	76.894213825	316.6		
T	20.640014822	76.959864704	292.0		
T	20.660896234	76.992640728	286.2		
T	20.671643843	77.047436725	315.8		
T	20.682297680	77.091274100	298.1		
T	20.724375296	77.200862764	297.7		
T	20.724670776	77.244784873	287.1		
T	20.724954743	77.288710091	286.9		
T	20.735554350	77.332611949	289.3		
T	20.746472577	77.420506056	294.9		
T	20.767696265	77.508433668	297.5		
T	20.778357498	77.563416381	297.8		
T	20.789122200	77.640422243	329.0		
T	20.810239383	77.717501906	337.9		
T	20.820926171	77.772611866	345.3		
T	20.821196115	77.816701264	348.4		
T	20.821579388	77.882849601	334.4		
T	20.822162107	77.993136206	343.2		
T	20.832774843	78.048345113	325.3		
T	20.843380819	78.103582345	315.0		
T	20.843790927	78.191943280	290.2		
T	20.844046141	78.247205052	275.9		
T	20.844726263	78.413096773	344.6		
T	20.855289946	78.457494301	298.0		
T	20.865894490	78.512998685	305.5		
T	20.876608068	78.601799136	294.5		
T	20.876987342	78.712751501	276.4		
T	20.887806514	78.846217089	351.7		
T	20.898317783	78.890834758	296.9		
T	20.908968407	78.980030573	265.5		
